platinumid,ntabs,ntabscategory
017_4DQE,313632,high
01I_3MA3,4,low
09G_3UDY,1452,medium
10N_4GU6,768,medium
15M_2F38,1000000,high
16F_3MRV,6480,medium
1NT_2NXG,157464,high
1VM_4LAE,6,low
1YJ_4LY3,77760,high
1Z8_4OZ3,12,low
252_2Z4X,45927,high
2G2_4P4B,1000000,high
2R7_4OC0,23328,high
2WP_4OJT,19008,high
3J9_4R5N,19800,high
3RJ_4WNP,2592,medium
3TC_2NOA,198,low
3TU_3NU0,76032,high
4RB_3BQR,1296,medium
4Y1_5C2E,864,medium
513_4ABF,4,low
578_2PJ1,20736,high
5LI_3SW8,180,low
610_3OE4,7128,medium
663_2P3U,256,low
680_1TX2,4,low
A28_3LFQ,48,low
ADI_1JX4,42768,high
AJ4_4IUE,4,low
BHZ_3MVX,221184,high
BLR_4I3B,1000000,high
BSI_1I76,1440,medium
BXQ_4D88,933120,high
BZ5_4B6Q,180,low
CDC_3HL4,1000000,high
D66_3Q43,2592,medium
DFH_4F6O,15,low
E1B_3PE2,24,low
F90_4CZH,16,low
FO1_4CDN,162,low
FU7_3R4P,7128,medium
GDN_18GS,248832,high
HMO_1FP2,8,low
I3A_3BWL,2,low
I46_3K3I,25,low
JC1_2ZXN,1000000,high
JJA_3WMH,6912,medium
KAN_1M4I,30375,high
KAP_4CXQ,2592,medium
KNA_3SZ1,2916,medium
KNC_1V0C,30375,high
MFU_4CSD,45,low
MSL_2J8R,108,low
MZ6_2QI4,15552,high
O2N_3ZSO,1000000,high
OYP_3RDE,1000000,high
P2E_3WFH,1000000,high
P43_4A6L,720,medium
RFM_4YOJ,3072,medium
RVE_3ST6,48,low
SIM_3HLF,1000000,high
SZ4_3RXD,4,low
T24_3DSI,1000000,high
TJM_4UY1,4,low
W7P_3W7P,96,low
WVH_4C0C,8640,medium
YTP_3OOG,2,low
ZYW_2WMW,180,low
002_2FV9,34992,high
15W_4HL5,4,low
2L1_4NP2,360,low
2L3_4NMF,45,low
2LC_4NH8,5940,medium
2UX_4OP2,288,low
2V2_4OTQ,384,low
2V8_4OQ3,288,low
2VD_4PNU,17280,high
440_3B92,324,low
443_3KL6,32400,high
BK5_3SXF,144,low
BK6_3T3U,720,medium
BL0_3BL0,36,low
BL2_4IK2,108,low
BL4_3BZ7,660,medium
003_2JFZ,192,low
00J_2XIR,38880,high
018_3H7W,36,low
020_3H82,36,low
022_3QJ5,13824,high
023_2WO9,11664,high
024_2QBS,4320,medium
027_3PIX,6480,medium
02Z_3RZB,12,low
03I_3U1Y,1000000,high
03K_4EK5,32,low
03U_3U2O,192,low
03X_3U6J,432,low
03Z_3RAK,96,low
044_3U6I,5184,medium
046_3UGC,1000000,high
04L_3PJ3,768,medium
04Z_3RAL,192,low
053_3SKA,16,low
054_3SKE,48,low
05B_3R1N,9900,medium
064_3DCT,768,medium
065_2QD7,1000000,high
068_2WO9,2592,medium
06F_3UVR,89088,high
06J_3R92,1000000,high
06P_3QTV,4224,medium
06T_3RKZ,992940,high
06Z_3RJC,48,low
076_3TOF,23328,high
077_2WO8,1296,medium
079_3TOG,69984,high
07N_3TTZ,360,low
07U_3TXO,18,low
07V_3TXZ,180,low
082_3TY0,2112,medium
085_3TZM,1100,medium
087_3U2K,120,low
08B_3U2D,540,medium
08C_4BU9,4,low
